#count	mode	opcode	ext	mnemonic	rm
4197798	32	0F B7	-	?	r
4197713	32	3C	-	?	r
4139535	16	FF	/2	?	m
4131763	32	0B	-	?	r
4085444	16	D1	/2	?	r
4058949	32	C2	-	?	r
4053526	16	38	-	?	m
4034803	16	BC	-	?	r
4033383	16	93	-	?	r
4030060	16	97	-	?	r
3897369	32	EC	-	?	r
3795644	32	BE	-	?	r
3789502	32	F7	/3	?	r
3752487	32	FF	/0	?	m
3706889	32	ED	-	?	r
3591594	16	3B	-	?	m
3469523	32	C7	/0	?	m
3459207	32	E6	-	?	r
3437549	32	3D	-	?	r
3344260	32	6A	-	?	r
3314149	16	C7	/0	?	m
3298466	32	0F B7	-	?	m
3215770	32	29	-	?	r
3214388	32	0F 9F	/0	?	r
3176975	16	16	-	?	r
3158794	32	86	-	?	r
3107586	16	86	-	?	r
3071270	16	BB	-	?	r
3065922	16	A0	-	?	r
3030919	16	98	-	?	r
3011239	32	87	-	?	m
2998414	32	01	-	?	r
2980339	16	3A	-	?	m
2958295	32	01	-	?	m
2917143	32	13	-	?	m
2897201	32	C1	/5	?	r
2864944	32	76	-	?	r
2725699	16	46	-	?	r
2574754	16	83	/4	?	r
2570632	16	78	-	?	r
2474966	16	2A	-	?	r
2469159	16	83	/5	?	r
2441510	32	48	-	?	r
2416418	32	52	-	?	r
2398390	32	88	-	?	r
2322603	32	F7	/0	?	r
2266842	16	47	-	?	r
2234830	32	C1	/4	?	r
2145469	32	68	-	?	r
2143333	16	40	-	?	r
2139809	16	87	-	?	m
2129551	16	81	/7	?	m
2112360	32	58	-	?	r
2099563	32	21	-	?	r
2099264	32	C6	/0	?	m
2098611	32	A8	-	?	r
2098578	32	0F AF	-	?	m
2098568	32	38	-	?	r
2089529	32	60	-	?	r
2089385	32	61	-	?	r
2050653	16	68	-	?	r
2031161	16	FF	/5	?	m
2024659	16	B2	-	?	r
2020246	16	80	/4	?	m
2019286	16	92	-	?	r
2018098	16	61	-	?	r
2018088	16	60	-	?	r
2016662	16	81	/4	?	m
