bytes                 , mode, len,   count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                   , res             , end_expr         , end, end_ok, text
8945f0                ,   32,   3,  619355,  0,   0,   4,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=-16@16:8};w=1                            ", move=3          , @modrm8          ,  24,      1, "mov [ebp-0x10], eax                   "
0f85ad000000          ,   32,   6,  608461,  0,   0,   4,   4,    ,      , jnear      , jnear.nz              , rel=0xad@16:32                                                                         , branch=2        , 16 + p.osz*8     ,  48,      1, jne near 0x000000B3
0f853b020000          ,   32,   6,  608461,  0,   0,   4,   4,    ,      , jnear      , jnear.nz              , rel=0x23b@16:32                                                                        , branch=2        , 16 + p.osz*8     ,  48,      1, jne near 0x00000241
03c8                  ,   32,   2,  605614,  0,   0,   4,   4,    ,      , add_rm     , add_rm                , "modrm8{kind=reg_direct,mod=3,reg=1,rm=0};w=1                                           ", alu=3           , @modrm8          ,  16,      1, "add ecx, eax                          "
8b5d00                ,   32,   3,  544298,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=3,rm=5,b=5,disp=0@16:8};w=1                              ", move=2          , @modrm8          ,  24,      1, "mov ebx, [ebp]                        "
33c0                  ,   32,   2,  536786,  0,   0,   4,   4,    ,      , xor_rm     , xor_rm                , "modrm8{kind=reg_direct,mod=3,reg=0,rm=0};w=1                                           ", alu=5           , @modrm8          ,  16,      1, "xor eax, eax                          "
ebf6                  ,   32,   2,  527591,  0,   0,   4,   4,    ,      , jmp_rel8   , jmp_rel8              , rel8=0xf6@8:8                                                                          , branch=3        , 8 + 8            ,  16,      1, jmp short 0xFFFFFFF8
ebe4                  ,   32,   2,  527591,  0,   0,   4,   4,    ,      , jmp_rel8   , jmp_rel8              , rel8=0xe4@8:8                                                                          , branch=3        , 8 + 8            ,  16,      1, jmp short 0xFFFFFFE6
51                    ,   32,   1,  526462,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=1                                                                                , stack=1         , 8                ,   8,      1, push ecx
83c10c                ,   32,   3,  501325,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=1};imm8=0xc@16:8                                 ", alu=3           , @modrm8 + 8      ,  24,      1, "add ecx, 0xC                          "
