bytes                   , mode, len,    count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                      , res             , end_expr         , end, end_ok, text
2b462c                  ,   32,   3,  3205911,  0,   0,   4,   4,    ,      , sub_rm     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "sub eax, [esi+0x2C]                     "
8946fc                  ,   32,   3,  3201794,  0,   0,   4,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base_d8,mod=1,reg=0,rm=6,b=6,disp=-4@16:8};w=1                                ", move=3          , @modrm8          ,  24,      1, "mov [esi-4], eax                        "
894604                  ,   32,   3,  3201794,  0,   0,   4,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base_d8,mod=1,reg=0,rm=6,b=6,disp=4@16:8};w=1                                 ", move=3          , @modrm8          ,  24,      1, "mov [esi+4], eax                        "
3b4640                  ,   32,   3,  3072748,  0,   0,   4,   4,    ,      , cmp_rm     , cmp_rm                , "modrm8{kind=base_d8,mod=1,reg=0,rm=6,b=6,disp=64@16:8};w=1                                ", alu=4           , @modrm8          ,  24,      1, "cmp eax, [esi+0x40]                     "
3b4634                  ,   32,   3,  3072748,  0,   0,   4,   4,    ,      , cmp_rm     , cmp_rm                , "modrm8{kind=base_d8,mod=1,reg=0,rm=6,b=6,disp=52@16:8};w=1                                ", alu=4           , @modrm8          ,  24,      1, "cmp eax, [esi+0x34]                     "
135604                  ,   32,   3,  2941208,  0,   0,   4,   4,    ,      , adc_rm     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "adc edx, [esi+4]                        "
50                      ,   32,   1,  2180532,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=0                                                                                   , stack=1         , 8                ,   8,      1, push eax
7509                    ,   16,   2,  2124219,  0,   0,   2,   2,    ,      , jshort     , jshort.nz             , rel8=0x9@8:8                                                                              , branch=2        , 8 + 8            ,  16,      1, jne short 0x000B
750f                    ,   16,   2,  2124219,  0,   0,   2,   2,    ,      , jshort     , jshort.nz             , rel8=0xf@8:8                                                                              , branch=2        , 8 + 8            ,  16,      1, jne short 0x0011
7203                    ,   32,   2,  1891639,  0,   0,   4,   4,    ,      , jshort     , jshort.b              , rel8=0x3@8:8                                                                              , branch=7        , 8 + 8            ,  16,      1, jb short 5
721b                    ,   32,   2,  1891639,  0,   0,   4,   4,    ,      , jshort     , jshort.b              , rel8=0x1b@8:8                                                                             , branch=7        , 8 + 8            ,  16,      1, jb short 0x0000001D
57                      ,   32,   1,  1634222,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=7                                                                                   , stack=1         , 8                ,   8,      1, push edi
c20400                  ,   32,   3,  1578678,  0,   0,   4,   4,    ,      , retn_i     , retn_i                , imm16=0x4@8:16                                                                            , ret=2           , 8 + 16           ,  24,      1, ret 4
53                      ,   32,   1,  1522452,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=3                                                                                   , stack=1         , 8                ,   8,      1, push ebx
46                      ,   16,   1,  1474044,  0,   0,   2,   2,    ,      , inc_r      , inc_r                 , opreg=6                                                                                   , alu=1           , 8                ,   8,      1, inc si
5f                      ,   32,   1,  1361438,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=7                                                                                   , stack=2         , 8                ,   8,      1, pop edi
5b                      ,   32,   1,  1343116,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=3                                                                                   , stack=2         , 8                ,   8,      1, pop ebx
8a24                    ,   16,   2,  1293926,  0,   0,   2,   2,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base16,mod=0,reg=4,rm=4};w=0                                                  ", move=2          , @modrm8          ,  16,      1, "mov ah, [si]                            "
0f85ad000000            ,   32,   6,  1282803,  0,   0,   4,   4,    ,      , jnear      , jnear.nz              , rel=0xad@16:32                                                                            , branch=2        , 16 + p.osz*8     ,  48,      1, jne near 0x000000B3
0f853b020000            ,   32,   6,  1282803,  0,   0,   4,   4,    ,      , jnear      , jnear.nz              , rel=0x23b@16:32                                                                           , branch=2        , 16 + p.osz*8     ,  48,      1, jne near 0x00000241
8ed8                    ,   16,   2,  1239896,  0,   0,   2,   2,    ,      , mov_sregm  , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "mov ds, ax                              "
0bc9                    ,   32,   2,  1232282,  0,   0,   4,   4,    ,      , or_rm      , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "or ecx, ecx                             "
8b08                    ,   32,   2,  1198974,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base,mod=0,reg=1,rm=0,b=0};w=1                                                ", move=2          , @modrm8          ,  16,      1, "mov ecx, [eax]                          "
4a                      ,   32,   1,  1156074,  0,   0,   4,   4,    ,      , dec_r      , dec_r                 , opreg=2                                                                                   , alu=2           , 8                ,   8,      1, dec edx
55                      ,   32,   1,  1152570,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=5                                                                                   , stack=1         , 8                ,   8,      1, push ebp
0f84d9010000            ,   32,   6,  1150643,  0,   0,   4,   4,    ,      , jnear      , jnear.z               , rel=0x1d9@16:32                                                                           , branch=1        , 16 + p.osz*8     ,  48,      1, je near 0x000001DF
0f845a020000            ,   32,   6,  1150643,  0,   0,   4,   4,    ,      , jnear      , jnear.z               , rel=0x25a@16:32                                                                           , branch=1        , 16 + p.osz*8     ,  48,      1, je near 0x00000260
c3                      ,   16,   1,  1141910,  0,   0,   2,   2,    ,      , retn       , retn                  ,                                                                                           , ret=1           , 8                ,   8,      1, ret
ff15240f01c0            ,   32,   6,  1106519,  0,   0,   4,   4,    ,      , call_m     , call_m                , "modrm8{kind=abs32,mod=0,reg=2,rm=5,disp=-1073672412@16:32}                                ", call=2          , @modrm8          ,  48,      1, call dword [0xC0010F24]
ff15340f01c0            ,   32,   6,  1106519,  0,   0,   4,   4,    ,      , call_m     , call_m                , "modrm8{kind=abs32,mod=0,reg=2,rm=5,disp=-1073672396@16:32}                                ", call=2          , @modrm8          ,  48,      1, call dword [0xC0010F34]
1f                      ,   16,   1,  1090868,  0,   0,   2,   2,    ,      , pop_ds     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , pop ds
47                      ,   16,   1,  1065038,  0,   0,   2,   2,    ,      , inc_r      , inc_r                 , opreg=7                                                                                   , alu=1           , 8                ,   8,      1, inc di
58                      ,   32,   1,  1056644,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=0                                                                                   , stack=2         , 8                ,   8,      1, pop eax
85c0                    ,   16,   2,  1042824,  0,   0,   2,   2,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=0};w=1                                              ", alu=7           , @modrm8          ,  16,      1, "test ax, ax                             "
